crawl_timestamp,url,job_title,category,company_name,city,state,country,inferred_city,inferred_state,inferred_country,post_date,job_description,job_type,salary_offered,job_board,geo,cursor,contact_email,contact_phone_number,uniq_id,html_job_description
2019-02-06 05:26:22 +0000,https://www.indeed.com/viewjob?jk=fd83355c2b23438c,Enterprise Data Scientist I,Accounting/Finance,Farmers Insurance Group,Woodland Hills,CA,Usa,Woodland hills,California,Usa,2019-02-06,"Read what people are saying about working here. 

We are Farmers!

Join a team of diverse professionals at Farmers to acquire skills on the job and apply your learned knowledge to future roles at Farmers. Farmers Insurance also offers extensive training opportunities through the award winning University of Farmers named by Training magazine amongst top 10 corporate training units in the world. Start your career at Farmers today!

Job Summary

The Enterprise Data Scientist I will be a valuable part of the Data Science team who provide statistical analysis, modeling, and vis ualization services for all lines of business and all shared service functions at Farmers Insurance Group. The Data Scientist 1 will work on end to end solutions as part of a team. They will design innovative analytic models and will be responsible for pulling and cleaning datasets, evaluating models, and presenting results to internal teams.

Essential Job Functions

Extract data from a variety of sources (databases, web, text files) and in a variety of formats (structured, unstructured, JSON, Parquet, etc.) and prepare the data for analysis Describe data using qualitative and quantitative aggregation/summarization and build tools (static reports, interactive dashboards, web applications) that allow clients to easily view and understand important patterns and trends in the data Provide quantitative comparisons of data points using advanced statistical analysis including data reduction techniques (PCA, cluste ring), resampling (permutation tests, Monte Carlo testing) as well as traditional statistical hypothesis testing Construct and validate predictive models using a variety of techniques

Physical Actions

Physical Environment

Education Requirements

Master's degree in scientific or quantitative field and documented academic excellence. PhD in scientific field preferred

Experience Requirements

At least year in a data analytics role (business intelligence analyst, data analyst, etc.)

Special Skill Requirement

Proficiency in at least one of the following is absolutely required: R, Python Basic proficiency in at least one of the following: PowerBI, Tableau, QlikView, D3.js Basic proficiency in SQL Able to implement and utilize advanced statistical and machine learning techniques (GLMs, PCA, cluster analyses, ARIMA, ETS, decision trees, SVM, neural networks, ensemble methods, etc.) Basic familiarity with project management tools (Asana, Basecamp, LiquidPlanner)

Farmers is an equal opportunity employer, committed to the strength of a diverse workforce.

]]>

Schedule: Full-time

Job Posting: 02/05/2019
 The companies comprising the Farmers Insurance Group of Companies® currently make up one of the country's largest insurers of vehicles, h...",Undefined,,indeed,usa,1549432819114777,,,3b6c6acfcba6135a31c83bd7ea493b18,
2019-02-06 05:33:41 +0000,https://www.dice.com/jobs/detail/Data-Scientist-Luxoft-USA-Inc-Middletown-NJ-07748/newageny/802263,Data Scientist,,Luxoft USA Inc,Middletown,NJ,Usa,Middletown,New jersey,Usa,2019-02-05,"We have an immediate opening for a Sharp Data Scientist with a strong Mathematical/Statistical background to work on various initiatives in a Huge data environment. Will be looking at various formats of Data dealing with Billing Fraud Patterns using various software and modeling techniques. The candidate should have a minimum of 3 years of solid work experience in a professional organization/corporation using Python, SQL, Python libraries, Machine Learning Algorithms ( i.e. Decision Tree, Random Forest, Logistic Regression, etc.) should have strong Python skills. Additional experience with R Cloud would be a plus. Will be working with structured and unstructured data formats so any experience with Hive, and other Big Data technologies would be a plus. Should have strong communication skills and the ability to explain data findings to both Technical and Non- Technical audiences. We are NOT considering Recent College Grads- MUST have a minimum of 2-3 post Graduate experience working in a professional organization .",Undefined,,dice,usa,1549432819122106,,,741727428839ae7ada852eebef29b0fe,
2019-02-06 05:33:35 +0000,https://www.dice.com/jobs/detail/Data-Scientist-Cincinnati-Bell-Technology-Solutions-New-York-NY-10001/10119424/464780,Data Scientist,,Cincinnati Bell Technology Solutions,New York,NY,Usa,New york,New york,Usa,2019-02-05,"Candidates should have the following background, skills and characteristics:  Experience developing analytic applications using Java/Scala and related technologies in the Spark/Hadoop ecosystem Seasoned experience with Big Data programming frameworks, such as Apache Spark and Kafka Expert-level proficiency in Scala and Java is must Experience in machine learning techniques, large scale optimization and building/supporting production ML systems is a big plus Bachelor’s degree in a quantitative discipline required (masters or PhD preferred)    ",Full Time,,dice,usa,1549432819236156,,,cdc9ef9a1de327ccdc19cc0d07dbbb37,
2019-02-06 05:33:42 +0000,https://www.indeed.com/viewjob?jk=841edd86ead205f2,"Data Scientist, Aladdin Wealth Tech, Associate (Modeler)",Accounting/Finance,BlackRock,New York,NY 10055 (Midtown area),Usa,New york,New york,Usa,2019-02-06,"Read what people are saying about working here. 

About BlackRock

BlackRock helps investors build better financial futures. As a fiduciary to investors and a leading provider of financial technology, our clients turn to us for the solutions they need when planning for their most important goals. As of December 31, 2018, the firm managed approximately $5.98 trillion in assets on behalf of investors worldwide. For additional information on BlackRock, please visit www.blackrock.com | Twitter: @blackrock | Blog: www.blackrockblog.com | LinkedIn: www.linkedin.com/company/blackrock.

Job Description:

Who we are:

 At BlackRock, we are passionate about technology. We leverage technology to develop actionable data insights that increase the Retail and iShares sales force productivity, efficiency, and revenues.

The role requires working closely with the Sales Enablement and Digital Distribution teams to ensure that insights are delivered with the highest business impact. You will also partner with internal technology teams on infrastructure, tools, processes, standards, and development, as well as other analytics teams across the organization.

The successful candidate will have a passion for technology, comfort working across a range of technology capabilities, including databases, software, and infrastructure, and a love of solving complex problems.

Responsibilities:

Sales Insights: Use data-driven insights to forecast, analyze and provide recommendations that identify cross-sell/up-sell opportunities while delivering improvements to sales force productivity, effectiveness, and strategy

Model Development: Use cutting-edge tools and machine learning techniques to improve customer segmentation, develop propensity models, recommendation engines, and other analytical products to enable sales and distribution improvements

Model Deployment: Work with internal technology teams on the implementation of models and insights into products and services

Partnering: Collaborate with other data scientists across the firm on best practices, code review, internal tools and process improvements

You should have:

Bachelors degree required, Masters degree preferred, in a quantitative discipline (computer science, mathematics, statistics, economics, physics, engineering or related discipline)

Asset management / finance work experience

Intellectual curiosity and a passion for data and emerging technology is a must

Highly quantitative, with a keen eye for teasing out insights from volumes of data

Ability to present insights to internal stakeholders

Strong team player

Technology-savvy and ability to work in multiple systems and languages

Knowledge of model and algorithm development (mathematical and statistical knowledge)

Proficiency in SQL and one of Python/R for programming, data analysis, and modelling

Experience with Hadoop stack (HIVE, Pig, Hadoop streaming) and/or Spark a plus

Experience of developing solutions such as databases, API’s to both source and provide data, and automation a plus

BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran status, and other statuses protected by law.

BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.

 BlackRock's business is investing on behalf of our clients, from large institutions to parents and grandparents, doctors and teachers who...",Undefined,,indeed,usa,1549432819259473,,,1c8541cd2c2c924f9391c7d3f526f64e,
2019-02-06 05:48:23 +0000,https://job-openings.monster.com/senior-data-scientist-charlotte-nc-us-cybercoders/205114316,Senior Data Scientist,biotech,CyberCoders,Charlotte,NC,Usa,Charlotte,North carolina,Usa,2019-02-05,"We are seeking an extraordinary Data Scientist in Charlotte to join our fast growing healthcare predictive analytics company to help in developing the next generation of truly game-changing, healthcare-related products.

We are a fast growing Silicon Valley company that uses sophisticated math and lean principles to make healthcare providers more efficient. Our technology helps millions of people wait less at hospitals and specialty clinics across the country. Our customers include some of the nation's largest hospitals including Stanford, NewYork-Presbyterian, and more!

Are you interested in helping save lives with math? Then, we cannot wait to meet you. Please apply now as this is an urgent role.     What You Will Be Doing   Working on all stages of the data science pipeline, from acquiring and munging data, selecting appropriate models and algorithms and/or deriving custom algorithms, to testing and evaluating these algorithms and models and incorporating them into commercial products.

-Collaborating with a team of Data Scientists to create bleeding edge analytics technology
-Analyzing various data sets and build sophisticated mathematical/statistical models 
-Designing and optimizing algorithms to achieve the best solutions 
-Working with data analysts, software engineers, and product managers to contribute on building and implementing models   What You Need for this Position   MINIMUM of 2+ Years of experience and knowledge of:

-Advanced Degree in a STEM discipline (PhD preferred)
-Experience using Python, R and SQL
-Strong quantitative and analytical skills
-Excellent problem-solving skills from data exploration-> hypothesis development -> hypothesis testing- > production-ready models 
-Knowledge of optimization techniques
-Experience analyzing data sets, building mathematical/statistical models and/or optimization algorithms 
-Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner 
-Ability to work collaboratively and independently
-A burning passion about data science and problem-solving in general   What's In It for You   This is a chance to a fast-growing team of veteran executives and the brightest minds from Google, McKinsey, Stanford, MIT, Duke, and more. 

We truly believe in taking care of our employees. If hired, you'll be offered a competitive salary ($80k-135k DOE), bonus opportunity, full benefits, generous PTO, career advancement opportunities, a fun and collaborative work environment, and other great perks! Interviews are occurring next week, so email   Lauren.Doversola@CyberCoders.com     and apply now if you're interested.    So, if you are a Senior Data Scientist with experience, please apply today!   

Job Summary

                             
                     
                         Location 
                             Charlotte, NC 28226 
                     
                 
                             
                     
                         Job type 
                         Full Time, Employee 
                     
                 
                 
                     
                         Posted 
                         Today 
                     
                 
                 
                     
                         Industries 
                         Healthcare Services 
                     
                 
                 
                     
                         Education level 
                         Professional 
                     
                 
                 
                     
                         Career level 
                         Entry Level 
                     
                 
                             
                     
                         Reference code 
                         LD4-1506734100",Full Time,,monster,usa,1549436429015957,,,445652a560a5441060857853cf267470,
2019-02-06 05:36:06 +0000,https://www.indeed.com/viewjob?jk=14fa3772cd5fe20f,CIB – Fixed Income Research – Machine Learning Data Scientist - Securitized Products – Associate/VP,Accounting/Finance,JP Morgan Chase,New York,NY 10179 (Midtown area),Usa,New york,New york,Usa,2019-02-05,"Read what people are saying about working here. 

Opportunity

The opportunity is to join our New York team as an analyst, associate, or VP, with a focus on applications of machine learning and artificial intelligence in fixed income/securitized products markets. The role requires an individual with excellent technical and programming skills, preferably with an advanced degree in quantitative field (e.g., physics, computer science, mathematics, engineering).

Our business

J.P. Morgan has the leading Global Rates and Global Spread business in terms of volume traded, issuers traded and quality of investor relationships. The Rates business covers Treasuries, swaps, options and other derivatives, while Spreads covers Credit, SPG, and Public Finance Markets. J.P. Morgan Global Spread and Trading offers first-class, highly integrated financial services to a global client base and provides financial assets and liquidity for banks, insurance companies, finance companies, mutual funds and hedge funds. Traders, salespeople and research analysts work collectively to generate ideas. The Credit business make secondary markets in high grade bonds/CDS, high yield bonds/CDS, distressed bonds, indices, options, correlation products, and more exotic structures. The Securitized Products Group (“SPG”) engages in origination, syndicate, sales & trading, financing, and principal investments activities. Asset classes include: mortgage-backed securities (commercial, residential, agency and non-agency), mortgage loans, consumer asset-backed securities and receivables (auto, credit card, student, equipment loans).

Our team

The Fixed Income Strategy Team seeks to deliver best in class client-facing research across rates, structured products, municipals and short-term fixed income. We support risk takers and other groups across the CIB, CIO, as well as a wide range of external clients including the world’s leading hedge funds, asset managers, insurance companies, pensions, central banks, and others. We also work closely with partners in technology to incorporate the latest computational and data analysis techniques. The opportunity is to join our SPG research group as a junior data scientist/quantitative modeller.

Key responsibilities could include:

Responsible for applying machine learning/artificial intelligence and big data techniques to a variety of problems in securitized products research, including generating trading ideas and signals, improving prepayment/defaults forecasts for internal and external clients, and improving existing empirical techniques used in SPG research.

To begin areas of focus will be agency MBS, help automate various analysis using python, doing ad-hoc prepayment analysis for clients, and doing research of combining different machine learning techniques for prepayment modelling.

Documenting and communicating results for publication.

The individual will need to demonstrate a record of being a team player with potential to partner with teams of diverse functions: technology partners, control groups, strategists/modellers, and trading & sales

The ideal candidate has …

An advanced degree in physics, engineering, math, statistics, computer science or other quantitative fields

Exceptional analytical, quantitative and problem-solving skills

Strong programming skills (preferably with Python), and some C++ knowledge and experience

Quick learner and self-starter, has strong interests to learn new developments in machine learning and artificial intelligence

Excellent written and oral communication and interpersonal skills, and an ability to work in a fast-paced, highly collaborative environment

Experience with and/or a strong interest in financial markets and macroeconomics, and their impacts to consumer behaviours.

Knowledge of fixed income markets, especially in MBS and models, is a plus, but is not a strict requirement.

 At JPMorgan Chase, the work we do matters. All of us are committed to putting our resources and our voices to work every day for our cust...",Undefined,,indeed,usa,1549436429033307,,,9571ec617ba209fd9a4f842973a4e9c8,
2019-02-06 05:34:37 +0000,https://www.indeed.com/viewjob?jk=c6db96b37f8a64ee,"Data Scientist, Licensing Operations",Accounting/Finance,Spotify,New York,NY 10011 (Chelsea area),Usa,New york,New york,Usa,2019-02-06,"Read what people are saying about working here. 

At Spotify our mission is to provide the world’s best platform for artists, creators, and fans.

The Licensing Operation team in Legal Licensing is responsible for driving a variety of strategic initiatives, including – among others – implementing licensing contracts, defining the data strategy for major labels and publishers, building standard reports for partners, driving business insights for the licensing team to facilitate contracts negotiation.

We are looking for a very motivated technical analyst to help build the framework of data reporting and analysis for our licensing partners – Labels and Publishers. This is an excellent opportunity for an analyst who has also a technical background to gain more business context by working closer to the partners and business.

Spotify has a rich and constantly evolving landscape of data infrastructure. The scope of this role is to build a data infrastructure of readily available datasets specifically tailored to “licensing partners” needs. And with the help of the other analysts on the team to deliver the best service to our partners.

What you’ll do

Perform analysis on large sets of data to extract composition and licensing details that will help drive decisions relating to licensing

Verbally and visually communicate outcomes to key partners on the licensing and legal teams

Look for opportunities to enhance search methodologies for licensing to solve for legal and licensing requests

Utilize data to help in building relationships with the music label and publishing community as well as non music partners

Partner with other licensing data scientists to drive business insights on labels and publishers

Partner with licensing data scientists and the broader licensing team to help drive and improve partners business reviews

Participate in strategic meetings and driving change and new ideas forward in the team

Work from our New York office in Manhattan

Who you are

You have at least 2 years of experience with working with data analysis.

You have the technical competence to perform data extraction and analysis, with some of the following:

Experience with SQL or R

Data Visualization experience (e.g., Tableau, Qliksense)

Coding skills (such as Python, Java, or Scala)

You have a degree in science, computer science, statistics, economics, mathematics, or similar quantitative discipline

You are a communicative person who values building strong relationships with colleagues and stakeholders

You have a deep understanding of numbers and business models, and experience extracting insights from large datasets to drive key business strategies

You are self-driven and have a good understanding of the business and communicate well with non-data colleagues

You are capable of tackling very loosely defined problems

 All your music is here. 

Spotify gives you millions of songs at your fingertips. The artists you love, the latest hits, and new discov...",Undefined,,indeed,usa,1549436429042348,,,0ec629c03f3e82651711f2626c23cadb,
2019-02-06 05:52:12 +0000,https://www.dice.com/jobs/detail/Sr.-Data-Scientist-%2528Can-work-on-Xoriant-W2%2529-Xoriant-Corporation-Santa-Clara-CA-95053/xorca001/XOR670428,Sr. Data Scientist (Can work on Xoriant W2),,Xoriant Corporation,Santa Clara,CA,Usa,Santa clara,California,Usa,2019-02-06,"Job Title: - Sr. Data Science Consultant Duration: 1+ Yrs (will get extend) Mode of interview - Skype/Video/ In personLocation: Santa Clara, CA   ///*****Note -Candidate should ready to work on xoriant W2****///////   Description We are looking for a Data Scientist who will support our public cloud teams with insights gained from analyzing cloud data. The ideal candidate is adept at using large data sets to find opportunities for cloud resiliency optimization and using models to test the effectiveness of different methods. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms. They must have a proven ability to drive cloud resiliency with their data-based insights. They must be comfortable working with a wide range of functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with teams to improve business outcomes.  Responsibilities Work with teams to identify opportunities for leveraging public cloud data to drive cloud resiliency. Mine & analyze data from public cloud databases to drive optimization and improvement of the cloud. Evaluate the effectiveness and accuracy of new data sources and data gathering techniques. Develop custom data models and algorithms to apply to data sets. Use predictive modeling to increase cloud robustness and optimize public cloud resiliency. Work with different functional teams to implement models and monitor outcomes. Able to collaborate with peers, engineering leaders and principal engineers on technical designs and implementation of new machine learning applications   Qualifications Strong problem solving skills with an emphasis on product development. Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets. Experience working with and creating data architectures. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/dis-advantages. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Excellent written and verbal communication skills for coordinating across teams. A drive to learn and master new technologies and techniques. We’re looking for someone with 5-7 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field. Familiar with the following software/tools: Coding knowledge and experience with several languages: C, C++, Java, GO is a plus. Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees & text mining, etc. Experience querying databases and using statistical computer languages: R, Python, SQL, etc. Experience using web services such as Spark, etc. Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc. Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc. Experience visualizing/presenting data for stakeholders. UNIX, Linux, Solaris and MS Windows. Excellent collaboration and communication skills.   ///////////***********Any query please call on 408 550 1287*******//////////////",Contract,,dice,usa,1549436429042523,,,972e897473d65f34b8e7f1c1b4c74b1c,
2019-02-06 05:34:18 +0000,https://www.indeed.com/viewjob?jk=0fc298b9f3a8ad51,"Data Scientist, Aladdin Wealth Tech, Associate",Accounting/Finance,BlackRock,New York,NY 10055 (Midtown area),Usa,New york,New york,Usa,2019-02-06,"Read what people are saying about working here. 

About BlackRock

BlackRock helps investors build better financial futures. As a fiduciary to investors and a leading provider of financial technology, our clients turn to us for the solutions they need when planning for their most important goals. As of December 31, 2018, the firm managed approximately $5.98 trillion in assets on behalf of investors worldwide. For additional information on BlackRock, please visit www.blackrock.com | Twitter: @blackrock | Blog: www.blackrockblog.com | LinkedIn: www.linkedin.com/company/blackrock.

Job Description:

Who we are:

At BlackRock, we are passionate about technology. We leverage technology to develop actionable data insights that increase the Retail and iShares sales force productivity, efficiency, and revenues.

The role requires working closely with the Sales Enablement and Digital Distribution teams to ensure that insights are delivered with the highest business impact. You will also partner with internal technology teams on infrastructure, tools, processes, standards, and development, as well as other analytics teams across the organization.

The successful candidate will have a passion for technology, comfort working across a range of technology capabilities, including databases, software, and infrastructure, and a love of solving complex problems.

Responsibilities:

Sales Insights: Use data-driven insights to forecast, analyze, and provide recommendations that identify cross-sell/up-sell opportunities while delivering improvements to sales force productivity, effectiveness, and strategy

Distribution Insights: Use data to understand, measure, and improve client experience on digital products

Visualization: Own and develop KPIs and associated self-service reporting and dashboards to ensure timely, accurate and value-added actionable information

Partnering: Collaborate with other data scientists across the firm on best practices, code review, internal tools, and process improvements

You should have:

Bachelors degree required, Masters degree preferred, in a quantitative discipline (computer science, mathematics, statistics, economics, physics, engineering or related discipline)

Asset management / finance work experience

Intellectual curiosity and a passion for data and emerging technology is a must

Highly quantitative, with a keen eye for teasing out insights from volumes of data

Ability to present insights to internal stakeholders

Strong team player

Technology-savvy and ability to work in multiple systems and languages

Proficiency in SQL and one of Python/R for programming, data analysis, and modelling

Experience in Tableau, QlikView, PowerBI or similar for delivery of management information and reporting

Experience in Adobe Analytics, Google Analytics, BigQuery and other related digital analytics platforms

Experience with Hadoop stack (HIVE, Pig, Hadoop streaming) and/or Spark a plus

Experience of developing solutions such as databases, API’s to both source and provide data, and automation a plus

BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran status, and other statuses protected by law.

BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.

 BlackRock's business is investing on behalf of our clients, from large institutions to parents and grandparents, doctors and teachers who...",Undefined,,indeed,usa,1549436429066810,,,80d64b46bc7c89602f63daf06b9f1b4c,
2019-02-06 06:03:55 +0000,https://www.dice.com/jobs/detail/Data-Scientist-Adroit-Resources-San-Francisco-CA-94105/10439825a/GP28%2523,Data Scientist,,Adroit Resources,San Francisco,CA,Usa,San francisco,California,Usa,2019-02-05,"• 3+ years related a professional experience  • Proven achievements resulting from predictive modeling  • SAS programming experience/certifications, ideally including time series PROC methods  • Degree in operations research, industrial engineering, computer science, applied math, physics, economics, or other quantitative science (graduate degree a plus)  • Experience with languages used for querying (e.g. SQL/Hive)  • Proven ability to succeed in both collaborative and independent work environments  • Ability to leverage experience to scale and validate models  • Experience working with business partners to validate the output of analytical models",Contract,,dice,usa,1549436429884667,,,b772c6ef8ee7631895ab9a59b5e8b2c1,
