,word,counter
11,work,804
27,looking,396
30,team,345
31,other,330
32,within,321
33,experience,311
34,customer,308
35,project,304
36,position,302
41,company,272
43,support,260
45,product,249
46,data,249
48,business,246
50,people,234
51,skills,233
53,management,216
54,provide,212
55,including,206
56,information,205
57,service,201
58,time,195
59,technical,189
60,quality,189
62,equipment,186
63,customers,183
64,products,180
65,design,180
68,services,175
69,responsible,174
71,ensure,170
72,process,166
75,seeking,162
79,maintenance,159
80,engineering,159
81,help,158
82,working,155
83,Manager,151
85,global,148
86,systems,147
87,production,147
88,duties,146
89,food,144
90,must,142
91,Solutions,141
92,communication,140
94,sales,138
95,Service,138
96,high,136
97,years,134
98,development,134
99,over,133
101,test,132
102,level,132
104,able,132
105,technology,131
109,home,124
110,perform,123
111,through,123
112,operations,123
113,knowledge,119
115,using,117
116,hours,117
117,well,116
118,about,115
119,related,113
120,system,111
121,both,111
122,exciting,110
123,projects,110
124,Aker,110
125,assigned,108
126,activities,107
127,include,107
128,Project,107
129,maintain,106
130,environment,106
131,part,106
132,make,105
133,Work,105
134,opportunity,105
135,when,104
136,strong,103
137,manage,103
138,ability,103
139,Customer,103
141,and/or,102
142,industry,102
143,office,102
144,Management,102
145,requirements,101
146,training,100
147,Engineering,100
148,based,99
149,control,98
150,solutions,98
151,take,98
152,"business,",98
154,Company,96
155,full,96
156,contract,96
157,each,95
158,need,95
159,contact,94
160,needs,94
161,standards,94
162,individuals,93
163,meet,93
164,following,92
165,staff,92
167,across,89
168,only,89
169,role,89
170,candidates,89
171,client,89
172,safety,88
173,develop,88
175,Ensure,87
176,where,87
177,assist,86
178,providing,85
180,documents,85
181,required,85
182,great,84
184,"engineering,",84
185,entry,84
186,they,83
187,every,83
188,performance,82
189,while,82
190,procedures,81
191,Apply,81
192,specific,80
193,employees,80
194,individual,80
195,timely,80
196,bring,80
197,which,80
198,tasks,79
200,position.,79
202,available,78
203,professional,77
204,"management,",77
205,best,77
206,subsea,77
207,phone,76
208,should,76
209,maximize,76
212,most,75
213,such,75
214,necessary,75
215,provider,75
216,Corporate,75
217,plans,75
218,industry.,74
219,accurate,74
220,Business,74
221,compliance,73
222,general,73
223,like,72
224,computer,72
225,financial,72
226,e-mail,72
227,person,71
228,Perform,71
229,area,71
230,leading,70
231,Services,70
232,clients,70
234,"products,",69
235,achieve,69
236,appropriate,69
237,administrative,68
238,internal,68
239,calls,68
240,field,68
241,would,68
242,limited,68
243,daily,68
244,positions,68
245,plant,67
246,Luxury,67
248,areas,66
249,Develop,66
250,challenges,66
251,require,66
252,earn,66
253,reports,66
254,opportunities,65
255,field.,65
256,Ability,65
257,cost,65
260,electrical,64
262,resume,64
264,learn,64
265,analysis,63
267,directly,63
270,Ultra,63
271,software,63
272,members,62
273,review,62
274,being,62
275,testing,62
276,improvement,62
277,please,62
278,"time,",62
279,current,61
280,Maintain,61
281,currently,61
282,paid,61
283,"team,",60
284,Provide,60
285,application,60
286,recovery,60
287,petroleum,60
288,developing,60
290,excellent,60
291,external,60
292,teams,60
293,call,60
295,Experience,59
296,includes,59
297,multiple,59
298,manufacturing,59
299,needed,58
301,after,58
302,candidate,58
303,care,58
304,join,58
305,apply,58
306,Able,58
307,money,58
308,build,57
309,managing,57
310,marketing,57
311,approximately,57
313,send,57
315,Technician,56
316,operating,56
317,below,56
318,then,56
319,program,56
320,processes,56
322,free,56
323,Director,55
324,employ,55
325,countries.,55
327,corporate,55
330,discoveries,54
331,"28,000",54
332,#URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae#,54
333,prepared,54
334,offer,54
336,environment.,54
338,various,53
339,required.,53
340,than,53
342,Quality,53
